Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data,job_simp,seniority
Data Scientist,66-112 ,3.9,Brillient,"Silver Spring, MD","Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),66,112,89, MD,0,14,1,1,0,0,0,0,1,data scientist,na
Data Modeler (Analytical Systems),66-112 ,3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),66,112,89, MA,0,169,0,1,1,1,0,0,1,na,na
Data Scientist,66-112 ,2.9,Xator Corporation,"Washington, DC","Reston, VA",501 to 1000 employees,Contract,IT Services,Information Technology,$25 to $50 million (USD),66,112,89, DC,0,-1,0,0,0,0,0,0,0,data scientist,na
Data Scientist,66-112 ,4.6,HAN IT Staffing Inc.,"New York, NY","Totowa, NJ",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,66,112,89, NY,0,8,1,1,0,0,0,0,1,data scientist,na
Data Scientist,66-112 ,3.4,Infinitive Inc,"McLean, VA","Cedar Rapids, IA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),66,112,89, VA,0,23,1,1,1,1,1,0,1,data scientist,na
"Data Engineer (Analytics, SQL, Python, AWS)",66-112 ,4,Travelers,"Hartford, CT","Hartford, CT",10000+ employees,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),66,112,89, CT,1,167,1,0,0,1,1,0,1,data engineer,na
Data Scientist 3 (718),128-201 ,3.3,Amyris,"Emeryville, CA","Emeryville, CA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),128,201,164, CA,1,17,1,0,0,0,1,0,0,data scientist,na
Data Scientist,128-201 ,4.3,Lightspeed Systems,"Austin, TX","Austin, TX",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),128,201,164, TX,1,21,1,0,0,1,1,0,0,data scientist,na
Senior Data Scientist,128-201 ,3.9,Thumbtack,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,128,201,164, CA,1,11,1,1,1,1,0,0,0,data scientist,senior
Senior Data Analyst - Finance & Platform Analytics,128-201 ,3.6,Twitch,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,128,201,164, CA,1,9,1,0,0,0,0,1,0,analyst,senior
Software Engineer - Machine Learning & Data Science (Applied Intelligence Services Team),128-201 ,4.7,New Relic,"Portland, OR","San Francisco, CA",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),128,201,164, OR,0,12,1,0,0,0,0,0,0,mle,na
IT Partner Digital Health Technology and Data Science,128-201 ,3.6,Biogen,"Cambridge, MA","Cambridge, MA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),128,201,164, MA,1,42,0,1,0,0,0,0,0,na,na
Data Scientist,128-201 ,0,HireAi,"San Francisco, CA",-1,-1,-1,-1,-1,-1,128,201,164, CA,0,-1,1,1,0,1,0,1,0,data scientist,na
"Senior Machine Learning Scientist - Bay Area, CA",128-201 ,3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,128,201,164, CA,0,5,1,0,0,0,1,0,0,mle,senior
Data Scientist,128-201 ,3.3,ICW Group,"San Diego, CA","San Diego, CA",501 to 1000 employees,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),128,201,164, CA,1,48,1,0,0,0,0,0,0,data scientist,na
Clinical Data Analyst,128-201 ,3.8,NYSTEC,"New York, NY","Rome, NY",51 to 200 employees,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),128,201,164, NY,0,24,1,0,0,0,0,0,0,analyst,na
Data Scientist,128-201 ,4.5,E3 Federal Solutions,"Chantilly, VA","McLean, VA",501 to 1000 employees,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,128,201,164, VA,0,16,0,0,1,0,0,0,1,data scientist,na
Data Engineer,128-201 ,4.5,Kingfisher Systems,"Falls Church, VA","Falls Church, VA",51 to 200 employees,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),128,201,164, VA,1,15,1,0,0,0,0,0,0,data engineer,na
Data Scientist Technical Specialist,128-201 ,3.4,Peraton,"Chantilly, VA","Herndon, VA",1001 to 5000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),128,201,164, VA,0,3,1,0,1,1,0,0,1,data scientist,na
Senior Data Scientist,128-201 ,3.1,Group O,"Chicago, IL","Milan, IL",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),128,201,164, IL,0,46,1,0,1,0,0,0,0,data scientist,senior
Data Science Manager,128-201 ,4,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),128,201,164, CA,0,38,1,1,1,1,0,0,1,manager,na
